id,nome,indirizzo,latitudine,longitudine,quartiere,valueHeatmap
0,fontanella,"piazza Danisinni, 22",38.112536,13.34446,Zisa,1
1,fontanella,"piazza Concezione, 7",38.117926,13.353889,"Palazzo Reale-Monte di Pietà",1
2,fontanella,"via saline, 29",38.19384,13.327761,"Partanna-Mondello",1
3,fontanella,"via pallavicino, 93",38.17158,13.327725,Pallavicino,1
4,fontanella,"piazza martini, 3",38.192242,13.326659,"Partanna-Mondello",1
5,fontana,"via del fante, 3",38.148114,13.343577,"Resuttana-San Lorenzo",1
6,fontanella,"piazza Tommaso Natale, 141",38.189522,13.285868,"Tommaso Natale-Sferracavallo",1
7,fontanella,"via Partanna Mondello, 167",38.196281,13.311114,"Partanna-Mondello",1
8,fontana,"cortile Catalano, 23 c",38.201258,13.313392,"Partanna-Mondello",1
9,fontanella,"via Catalano, 43 b",38.199843,13.313914,"Partanna-Mondello",1
10,fontanella,"via Carbone, 1",38.198446,13.318446,"Partanna-Mondello",1
11,fontanella,"viale Cavarretta, 1",38.196729,13.315325,"Partanna-Mondello",1
12,fontanella,"via Altarello, 233",38.109418,13.320532,Altarello,1
13,fontanella,"piazza Pagliarelli, 7",38.090433,13.331536,"Mezzomonreale-Villa Tasca",1
14,fontanella,"via f. Lo Jacono, 20",38.132622,13.345516,Libertà,1
15,fontanella,"via G. Sciuti, 2",38.132229,13.34349,Libertà,1
16,fontana,"cortile seminario greco, 3",38.141415,13.35695,Montepellegrino,1
17,fontanella,"via Nostra Donna del Rotolo, 50",38.166993,13.366562,"Arenella-Vergine Maria",1
18,fontanella,"via Perpignano, 177",38.119107,13.331853,Noce,1
19,fontanella,"via Mazzarella, 45",38.126114,13.308807,"Uditore-Passo di Rigano",1
20,fontana,"via Aloi, 123",38.075049,13.355524,"Villagrazia-Falsomiele",1
21,fontana,"via castellana, 95",38.125687,13.308799,"Uditore-Passo di Rigano",1
22,fontana,"cortile Rapallo, 14",38.067715,13.425265,"Brancaccio-Ciaculli",1
23,fontanella,"via conte Federico, 178",38.093007,13.388577,"Brancaccio-Ciaculli",1
24,fontana,vicolo Mezzojuso,38.113334,13.366064,"Tribunali-Castellammare",1
25,fontanella,piazza Meschita,38.113609,13.364339,"Tribunali-Castellammare",1
26,fontanella,"via Bologna, 24",38.113426,13.364561,"Tribunali-Castellammare",1
27,fontanella,"via Messina Marine, 637",38.09748,13.416208,Settecannoli,1
28,fontanella,"corso dei Mille, 384",38.102967,13.379517,Settecannoli,1
29,fontanella,"via Sperone, 296",38.09916,13.401636,Settecannoli,1
30,fontanella,"via Sperone, 66 a",38.099477,13.399401,Settecannoli,1
31,fontanella,"corso dei Mille, 1620",38.088055,13.420907,Settecannoli,1
32,fontanella,"via Barresi, 7",38.079082,13.373998,"Villagrazia-Falsomiele",1
33,fontanella,"via Decollati, 14",38.105165,13.371716,"Oreto-Stazione",1
34,fontanella,"via del Celso, 85",38.116145,13.358085,"Palazzo Reale-Monte di Pietà",1
35,fontanella,"piazzetta Pietro Speciale, 1",38.113976,13.359963,"Palazzo Reale-Monte di Pietà",1
36,fontanella,"piazza Tavola Tonda, 18",38.120135,13.365852,"Tribunali-Castellammare",1
37,fontana,piazza Vittoria,38.112656,13.355584,"Palazzo Reale-Monte di Pietà",1
38,fontanella,"via Agostino Catalano, 80",38.104312,13.341897,"Cuba-Calatafimi",1
39,fontanella,"piazza San Giovanni alla Guilla, 4",38.116226,13.356055,"Palazzo Reale-Monte di Pietà",1
40,fontanella,"piazzetta della Canna, 2",38.115866,13.359141,"Palazzo Reale-Monte di Pietà",1
41,fontanella,"piazza Ritiro San Pietro, 20",38.109595,13.35887,"Palazzo Reale-Monte di Pietà",1
42,fontanella,"piazzetta delle Api, 6",38.1169,13.358557,"Palazzo Reale-Monte di Pietà",1
43,fontana,via della Libertà Giardino Inglese,38.131958,13.350762,Libertà,1
44,fontanella,piazza Villagrazia,38.07816,13.333445,"Villagrazia-Falsomiele",1
45,fontanella,fondo Pecoraro (via Falsomiele),38.076736,13.369887,"Villagrazia-Falsomiele",1
46,fontanella,"via Madonna del Soccorso, 3",38.110006,13.325337,Altarello,1
47,fontanella,"via Lorenzo Iandolino, 54",38.196577,13.312688,"Partanna-Mondello",1
48,fontanella,via cortile Castellana Bandiera,38.14766,13.36362,Montepellegrino,1
49,fontana,vicolo Seidita in via Casamicciola,38.125994,13.311662,"Uditore-Passo di Rigano",1
50,fontanella,"via Messina Marine, 50",38.10695,13.383327,Settecannoli,1
51,fontana,piazzetta Vincenzo di Giovanni,38.115596,13.356896,"Palazzo Reale-Monte di Pietà",1
52,fontana,"vicolo degli Orfani, 15",38.117089,13.35538,"Palazzo Reale-Monte di Pietà",1
53,fontanella,"largo Parisi, 18",38.079678,13.361753,"Villagrazia-Falsomiele",1
54,fontanella,"via Conceria, 32",38.140232,13.329823,"Cruillas-S.Giovanni Apostolo",1
55,fontana,"via Baida, 106",38.109069,13.305624,Boccadifalco,1
56,fontanella,"piazza Rossi, 1",38.190045,13.2863,"Tommaso Natale-Sferracavallo",1
57,fontana,fondo Napolitano ,38.103486,13.370337,"Oreto-Stazione",1
58,fontana,villa a Mare,38.114806,13.378209,"Oreto-Stazione",1
59,fontana,piazza Gen. Cascino,38.148121,13.357784,Montepellegrino,1
60,fontana,"via Volturno, 2",38.119865,13.3555,Politeama,1
61,fontanella,"piazza Sferracavallo, 8",38.197942,13.276838,"Tommaso Natale-Sferracavallo",1
62,fontanella,"piazza Mandorle, 10",38.188327,13.289097,"Tommaso Natale-Sferracavallo",1
63,fontanella,"via di Benedetto, 19",38.187864,13.286906,"Tommaso Natale-Sferracavallo",1
64,fontanella,"piazza Pietro Micca, 18",38.109259,13.308583,Boccadifalco,1
65,fontanella,"via Umberto Maddalena, 232",38.108181,13.308868,Boccadifalco,1
66,fontanella,"via Asilo Infantile, 1",38.195186,13.312224,"Partanna-Mondello",1
67,fontanella,"via Portello, 14",38.113467,13.33033,Zisa,1
